date,loc,count,source,SFIPS,SFIPS,CFIPS,CFIPS,PLFIPS,GNIS-ID-maybe,unclear11,pop1990,pop2000,Name,State-abb,State,unclear17,unclear18,unclear19,unclear20,unclear21,unclear22,unclear23,unclear24,unclear25,Long,Lat
2/29/2012,Orlando,1,http://www.tucsonsentinel.com/local/report/030112_occupy_tucson/police-push-occupy-tucson-from-deanza-park-21-arrested/,12,12,095,095,53000,288240,106,164693,185951,ORLANDO,FL,FLORIDA,1,b'             ',1,0,7460,7460,0,b'             ',0,-81.3742,28.5047
2/29/2012,Groton,8,http://www.ibtimes.com/articles/306968/20120229/occupy-wall-street-ows-arrest-protest-nyc.htm,09,09,011,011,34180,207531,75,9837,10010,GROTON,CT,CONNECTI,1,b'             ',1,0,810,810,0,b'             ',0,-72.08,41.34
2/29/2012,Erie,4,http://www.kansascity.com/2012/02/29/3460438/police-arrest-four-at-occupy-kc.html,42,42,049,049,24000,1174305,b'           ',108718,103717,ERIE,PA,PENNSYLVANIA,1,b'             ',1,0,13060,13060,0,b'             ',0,-80.0866,42.1258
2/27/2012,Seattle,10,http://washingtonexaminer.com/local/dc/2012/02/occupy-dc-protesters-arrested-outside-monsanto/323336,53,53,033,033,63000,1512650,350,516259,563374,SEATTLE,WA,WASHINGTON,1,b'             ',1,0,4260,4260,0,b'             ',0,-122.3503,47.6218
2/25/2012,Louisville,5,http://www.koinlocal6.com/news/local/story/Over-1-000-take-part-in-Occupy-Portland-F29-march/bzPRTCjp7U2ytNVtoF2Olg.cspx,08,08,013,013,46355,181261,5337,12361,18937,LOUISVILLE,CO,COLORADO,2,b'             ',2,0,16,0,0,L,442,-105.1396,39.9684
2/25/2012,Sarasota,1,"http://www.orlandosentinel.com/news/local/crime/os-occupy-orlando-arrest-spitting-20120301,0,5510829.story",12,12,115,115,64175,290675,27,50961,52715,SARASOTA,FL,FLORIDA,1,b'             ',1,0,7200,7200,0,b'             ',0,-82.5466,27.3361
2/17/2012,Asheville,3,http://www.theday.com/article/20120229/NWS01/120229563/Eight-arrested-when-Occupy-movement-comes-to-Pfizer,37,37,021,021,02140,1018864,2134,61607,68889,DOWNTOWN ASHEVILLE,NC,NORTH CAROLINA,1,b'             ',1,0,6030,6030,0,b'             ',0,-82.5514,35.5953
2/16/2012,New Paltz,4,http://www.goerie.com/article/20120308/NEWS02/303079880/Occupy-Erie-members-enter-not-guilty-pleas-in-bank-trespass-case,36,36,111,111,50551,958443,236,5463,6034,NEW PALTZ,NY,NEW YORK,1,b'             ',1,0,6590,6590,0,b'             ',0,-74.0819,41.7482
2/14/2012,Tacoma,3,http://seattletimes.nwsource.com/html/localnews/2017613231_occupy28m.html,53,53,053,053,70000,1512713,380,176664,193556,TACOMA,WA,WASHINGTON,1,b'             ',1,0,4240,4240,0,b'             ',0,-122.4598,47.252
2/13/2012,Atlanta,12,http://www.wave3.com/story/17018442/five,13,13,121,121,04000,351615,1016,0,486411,ATLANTA,GA,GEORGIA,1,b'             ',1,0,10000,10000,0,b'             ',0,-84.39035,33.74884
